ASN,CC,Name,IXP Number (IX-F ID),Switch Name,IPv4 Address,IPv6 Address,MAC Address,Vendor,MANRS,IXP Switch
55352,IN,Microscan Computers Pvt. Ltd.,694,moon.bom,103.77.108.229,2001:df2:1900:2::229,,,0,694+moon.bom
134021,IN,Airgenie Communications Pvt Ltd,772,caelum.maa,45.120.251.37,2001:df2:1900:3::37,6c:3b:6b:fd:20:5f,Routerboard.com,0,772+caelum.maa
133982,IN,Excitel,694,pluto.bom,103.77.108.166,2001:df2:1900:2::166,,,0,694+pluto.bom
57344,NL,Telehouse AD,898,SER-AM7-TR1,185.1.222.194,2001:7f8:b7::a505:7344:1,d4:8c:b5:4d:74:00,"Cisco Systems, Inc",0,898+SER-AM7-TR1
134033,IN,Mithril Telecommunication Pvt. ltd,773,gemini.hyd,103.77.110.24,2001:df2:1900:4::24,,,0,773+gemini.hyd
213035,NL,Serverion,898,SER-NIK-TR3,185.1.222.216,2001:7f8:b7::a521:3035:2,e0:f6:2d:5e:f7:0a,Juniper Networks,0,898+SER-NIK-TR3
57344,NL,Telehouse AD,898,SER-AM7-TR1,185.1.222.194,2001:7f8:b7::a505:7344:1,00:26:88:dd:27:c3,Juniper Networks,0,898+SER-AM7-TR1
134033,IN,Mithril Telecommunication Pvt. ltd,694,moon.bom,103.77.108.126,2001:df2:1900:2::126,,,0,694+moon.bom
133982,IN,Excitel,683,camelopardalis.del,45.120.248.4,2001:df2:1900:1::4,,,0,683+camelopardalis.del
55705,IN,Times Internet,694,volans.bom,103.77.108.15,2001:df2:1900:2::15,,,0,694+volans.bom
134055,IN,ICC Netspeed (Intermedia Cable Communication Pvt. Ltd.),694,jupiter.bom,103.77.108.69,2001:df2:1900:2::69,,,0,694+jupiter.bom
213373,NL,IP Connect Inc,898,SER-DRO-TR0,185.1.222.156,2001:7f8:b7::a521:3373:1,9c:8a:cb:59:d0:ed,Juniper Networks,0,898+SER-DRO-TR0
58299,NL,Test-member-AS58299,898,SER-NIK-TR3,185.1.222.179,2001:7f8:b7::a505:8299:1,90:e2:ba:c7:d1:2d,Intel Corporate,1,898+SER-NIK-TR3
134294,IN,RP World Telecom,683,draco.del,45.120.248.168,,,,0,683+draco.del
134014,IN,NET 4 U SERVICES PVT LTD,694,mars.bom,103.77.108.160,2001:df2:1900:2::160,,,0,694+mars.bom
55944,IN,Ooredoo Maldives Plc,772,centaurus.maa,45.120.251.96,2001:df2:1900:3::96,10:f3:11:7d:2c:85,"Cisco Systems, Inc",0,772+centaurus.maa
134305,IN,Sampath Venkateswara Communications,773,gemini.hyd,103.77.110.21,2001:df2:1900:4::21,,,0,773+gemini.hyd
134016,IN,Velocity Internet India Private Ltd,772,taurus.maa,45.120.251.25,,64:d1:54:82:4a:f5,Routerboard.com,0,772+taurus.maa
60022,NL,Sona Business B.V.,898,SER-NIK-TR1,185.1.222.98,2001:7f8:b7::a506:22:1,,,0,898+SER-NIK-TR1
134307,IN,Classicnet Broadband Network,694,lacerta.bom,103.77.108.48,,,,0,694+lacerta.bom
134022,IN,Genstar Network Solutions pvt Ltd,694,uranus.bom,103.77.108.243,2001:df2:1900:2::243,,,0,694+uranus.bom
