IXP Number (IX-F ID),Name,Metro,Switch Name,Switch Model,Software Version,Peering DB Facility ID,Coordinates,IPv4,IPv6,MANRS,ASN Sum,IXP Switch
634,DE-CIX Mumbai (DE-CIX Interwire Internet Services Pvt Ltd),Mumbai,bom-02-ixp01,mx960,,4228,,103.27.170.0/23,2401:7500:fff6::0/64,0,12,634+bom-02-ixp01
522,DataIX Internet Exchange (DataIX Internet Exchange),Frankfurt,ar7508-1.fr5.fra.gblnet.net,DCS-7508N,,60,,178.18.224.0/22,2a03:5f80:4::0/64,0,19,522+ar7508-1.fr5.fra.gblnet.net
634,DE-CIX Mumbai (DE-CIX Interwire Internet Services Pvt Ltd),Mumbai,bom-05-ixp01,mx960,,7377,,103.27.170.0/23,2401:7500:fff6::0/64,0,23,634+bom-05-ixp01
522,DataIX Internet Exchange (DataIX Internet Exchange),Kiev,ar7508-1.gay50.iev.gblnet.net,DCS-7508,,365,"50.551468,30.629527",178.18.224.0/22,2a03:5f80:4::0/64,0,27,522+ar7508-1.gay50.iev.gblnet.net
522,DataIX Internet Exchange (DataIX Internet Exchange),Amsterdam,ar7280-1.nikhef.ams.gblnet.net,DCS-7280SR-48C6,,18,,178.18.224.0/22,2a03:5f80:4::0/64,0,13,522+ar7280-1.nikhef.ams.gblnet.net
522,DataIX Internet Exchange (DataIX Internet Exchange),Stockholm,ce6870-1.sto1.sto.gblnet.net,Unknown,,156,,178.18.224.0/22,2a03:5f80:4::0/64,0,4,522+ce6870-1.sto1.sto.gblnet.net
522,DataIX Internet Exchange (DataIX Internet Exchange),Chelyabinsk,ar7280-1.kir19.cek.gblnet.net,DCS-7280SR2A-48YC6,,,,178.18.224.0/22,2a03:5f80:4::0/64,0,0,522+ar7280-1.kir19.cek.gblnet.net
522,DataIX Internet Exchange (DataIX Internet Exchange),Moscow,ar7280-3.m9.mow.gblnet.net,DCS-7280SR2A-48YC6,,152,"55.652639,37.528861",178.18.224.0/22,2a03:5f80:4::0/64,0,0,522+ar7280-3.m9.mow.gblnet.net
522,DataIX Internet Exchange (DataIX Internet Exchange),St. Petersburg,qfx3500-1.imaqliq.led.gblnet.net,Unknown,,4782,"59.899711,30.401316",178.18.224.0/22,2a03:5f80:4::0/64,0,5,522+qfx3500-1.imaqliq.led.gblnet.net
645,INEX LAN2 (Internet Neutral Exchange Association Limited by Guarantee),Dublin,swi2-cwt1-1,X670G2-48x-4q,,164,,194.88.240.0/25,2001:7f8:18:12::/64,0,8,645+swi2-cwt1-1
522,DataIX Internet Exchange (DataIX Internet Exchange),St. Petersburg,ar7050t-1.bm18.led.gblnet.net,DCS-7050T-64,,657,"59.934882,30.31608",178.18.224.0/22,2a03:5f80:4::0/64,0,4,522+ar7050t-1.bm18.led.gblnet.net
645,INEX LAN2 (Internet Neutral Exchange Association Limited by Guarantee),Dublin,swi2-pwt1-1,X670G2-48x-4q,,177,,194.88.240.0/25,2001:7f8:18:12::/64,0,12,645+swi2-pwt1-1
522,DataIX Internet Exchange (DataIX Internet Exchange),Kiev,DTEL-IX-vswitch,Virtual,,365,"50.551468,30.629527",178.18.224.0/22,2a03:5f80:4::0/64,0,17,522+DTEL-IX-vswitch
645,INEX LAN2 (Internet Neutral Exchange Association Limited by Guarantee),Dublin,swi2-nwb1-1,X670G2-48x-4q,,1065,,194.88.240.0/25,2001:7f8:18:12::/64,0,7,645+swi2-nwb1-1
522,DataIX Internet Exchange (DataIX Internet Exchange),Новосибирск,ex4500-1.ser14.ovb.gblnet.net,Unknown,,,,178.18.224.0/22,2a03:5f80:4::0/64,0,1,522+ex4500-1.ser14.ovb.gblnet.net
645,INEX LAN2 (Internet Neutral Exchange Association Limited by Guarantee),Dublin,swi2-cwt1-3,Mellanox MSN2100,,164,,194.88.240.0/25,2001:7f8:18:12::/64,0,4,645+swi2-cwt1-3
522,DataIX Internet Exchange (DataIX Internet Exchange),Moscow,ex4500-1.m8.mow.gblnet.net,ex4500-40f,,349,"55.805323,37.551781",178.18.224.0/22,2a03:5f80:4::0/64,0,2,522+ex4500-1.m8.mow.gblnet.net
645,INEX LAN2 (Internet Neutral Exchange Association Limited by Guarantee),Dublin,swi2-nwb1-3,Mellanox MSN2100,,1065,,194.88.240.0/25,2001:7f8:18:12::/64,0,3,645+swi2-nwb1-3
